"","germplasmName","Grain.moisture.content._Big6_Fra_23","Grain.moisture.content._Big6_Fre_23","Grain.moisture.content._Big6_Ith_23","Grain.moisture.content._Big6_Laf_23","Grain.moisture.content._Big6_Mas_23","Grain.moisture.content._Big6_Urb_23","Grain.moisture.content._Big6_Vin_23","Grain.moisture.content._Big6_Woo_23","Grain.test.weight...lbs.bu_Big6_Fra_23","Grain.test.weight...lbs.bu_Big6_Fre_23","Grain.test.weight...lbs.bu_Big6_Ith_23","Grain.test.weight...lbs.bu_Big6_Laf_23","Grain.test.weight...lbs.bu_Big6_Mas_23","Grain.test.weight...lbs.bu_Big6_Prn_23","Grain.test.weight...lbs.bu_Big6_Urb_23","Grain.test.weight...lbs.bu_Big6_Vin_23","Grain.test.weight...lbs.bu_Big6_Woo_23","Grain.yield...bu.ac_Big6_Fra_23","Grain.yield...bu.ac_Big6_Fre_23","Grain.yield...bu.ac_Big6_Ith_23","Grain.yield...bu.ac_Big6_Laf_23","Grain.yield...bu.ac_Big6_Mas_23","Grain.yield...bu.ac_Big6_Prn_23","Grain.yield...bu.ac_Big6_Urb_23","Grain.yield...bu.ac_Big6_Vin_23","Grain.yield...bu.ac_Big6_Woo_23","Heading.time...Julian.date_Big6_Laf_23","Heading.time...Julian.date_Big6_Mas_23","Heading.time...Julian.date_Big6_Prn_23","Heading.time...Julian.date_Big6_Scb_23","Heading.time...Julian.date_Big6_Urb_23","Heading.time...Julian.date_Big6_Vin_23","Heading.time...Julian.date_Big6_Woo_23","Lodging.incidence...0.9.percentage.scale.CO_321.0001282_Big6_Ith_23","Plant.height.inches_Big6_Mas_23","Plant.height.inches_Big6_Prn_23","Plant.height.inches_Big6_Urb_23","Plant.height.inches_Big6_Woo_23"
"69","2020-7917",16.35,13.31,NA,17.89,13.72,12.83,NA,13.62,63.68,61.28,NA,52.43,61.07,57.94,61.11,NA,57.94,104.83,107.46,NA,62.01,79.79,84.78,90.16,NA,73.46,130.83,148.01,106.84,131.58,129.29,NA,133.5,NA,34.82,39.71,39.39,34.53
"70","2020-9801",18.67,13.37,NA,18.04,13.67,14.61,NA,12.81,62.47,57.38,NA,53.43,62.15,54.79,62.55,NA,57.82,95.13,116.43,NA,61.23,88.18,95.28,114.33,NA,77.04,134.22,149.98,114.56,132.61,129.2,NA,135,NA,35.27,37.99,38.91,35.59
"71","2020-9945",15.36,12.31,NA,17.21,13.35,13.41,NA,12.63,59.78,57.62,NA,52.75,59.52,57.44,60.77,NA,59.4,96.64,113.67,NA,55.57,76.41,110.58,113.2,NA,89.91,131.83,150.03,113.56,135.64,133.44,NA,136.85,NA,31.05,35.54,34.57,34.52
"72","20PU-0001",16.24,12.68,NA,17.22,13.36,12.01,NA,12.32,61.22,56.74,NA,51.29,60.78,51.87,58.08,NA,56.56,95.64,110.12,NA,74.15,85.43,92.88,99.07,NA,82.07,134.66,150.86,113.37,137.26,135.14,NA,135.72,NA,34.08,34.42,34.33,34.46
"73","21PU-0015",15.01,13.01,NA,18.28,13.82,NA,NA,13.5,57.77,58.6,NA,50.71,59.66,NA,NA,NA,58.71,91.77,122.07,NA,57.7,87.01,NA,NA,NA,87.98,142.66,151.99,NA,142.16,NA,NA,NA,NA,33.65,NA,NA,36.94
"74","21PU-0026",15.93,13.41,NA,17.8,13.42,14.34,NA,13.44,60.05,57.76,NA,51.12,61.03,50.7,62.04,NA,57.02,95.41,127.15,NA,59.44,84.95,88.41,113.36,NA,94.39,138.94,150.96,115.2,140.34,135.86,NA,140.47,NA,35.82,38.29,38.42,35.98
"75","21PU-0030",15.08,12.88,13.76,17.36,14.12,11.69,11.41,12.81,56.86,53.29,55.37,50.28,57.15,49.94,55.1,51.67,54.06,90.84,110.18,68.71,68.29,76.15,89.35,110.98,63.72,96.37,138.08,150.96,120.88,138.13,134.86,126.48,138.52,0.03,36.54,39.22,40.97,38.95
"76","21PU-0033",15.82,13.51,12.93,16.81,13.65,13.11,11.73,12.66,60.25,57.7,56.17,54.14,62.3,56.79,59.44,56.35,58.79,90.91,121.07,65.66,77.43,81.73,116.48,110.34,59.41,99.13,138.23,152,120.48,138.78,136.51,127.02,140.86,-0.08,33.72,37,37.74,36.11
"77","21PU-0040",16.01,12.93,NA,16.68,13.31,12.93,NA,12.78,61.39,59.51,NA,53.58,61.88,53.45,60.17,NA,58.13,93.8,109.41,NA,75.04,77.74,81.78,100.13,NA,99.95,138.25,150.95,118.91,138.69,133.3,NA,137.57,NA,35.72,33.82,37.84,35.91
"78","21PU-0042",16.01,12.61,NA,17,12.92,12.88,NA,12.39,61,60.05,NA,53.74,62.83,55.75,59.1,NA,59.64,88.37,89.73,NA,66.79,73.56,104.07,100.94,NA,90.43,138.04,151.76,112.62,139.89,133.58,NA,135.77,NA,32.61,37.56,37.42,35.84
"79","21PU-0046",15.72,13.59,NA,17.25,13,12.33,NA,12.78,61.37,55.57,NA,51.62,61.28,50.17,58.86,NA,55.95,97.98,115.14,NA,67.76,81.28,101.1,106.25,NA,88.17,138.18,152.19,115.88,138.26,133.91,NA,140.25,NA,40.66,41.85,45.27,36.79
"80","21PU-0051",14.88,12.91,NA,16.93,13.05,NA,NA,12.43,59.17,54.82,NA,50.6,60.48,NA,NA,NA,55.78,95.99,104.65,NA,44.73,77.76,NA,NA,NA,97.46,136.54,151.15,NA,136.99,NA,NA,138.13,NA,36.54,NA,NA,37.06
"81","21PU-0058",16.23,13.01,NA,16.7,13.79,13.39,NA,12.64,60.35,52.93,NA,51.2,60.78,54.36,60.58,NA,55.44,99.64,103.87,NA,48.13,78.7,101.11,129.64,NA,99.73,136.72,151.87,117.36,137.87,134.65,NA,138.76,NA,36.12,40.08,43,35.77
"82","21PU-0071",15.56,13.22,NA,16.73,13.62,13.44,NA,13.01,58.98,55.21,NA,51.91,60.72,53.91,59.24,NA,56.15,95.17,110.19,NA,49.31,87.07,99.69,105.55,NA,84.06,142.14,152.07,116.53,137.2,134.81,NA,140.81,NA,34.73,37.54,34.11,34.63
"83","21PU-0072",15.6,13.41,NA,17.11,13.19,14.23,NA,13.07,60.99,59.61,NA,54.56,61.73,56.32,60.86,NA,59.47,93.95,116.41,NA,80.65,83.48,101.56,101.67,NA,89.71,136.26,151.3,114.2,138.16,135.04,NA,137.72,NA,37.73,41.98,38.93,37.57
"84","21PU-0104",15.37,13,NA,17.29,13.66,NA,NA,13.56,58.29,57,NA,51.43,58.74,NA,NA,NA,55.16,92.32,130.99,NA,86.89,82.61,NA,NA,NA,103.98,134.28,150.19,NA,137.42,NA,NA,137.23,NA,32.94,NA,NA,33.82
"85","21PU-0154",17,13.35,13.78,17,13.77,14.09,11.88,12.98,61.3,57.72,57.39,51.84,61.13,54.91,60.86,57.99,56.63,100.53,110.06,68.73,65.89,85.48,82.9,106.56,76.32,88.35,140.29,150.8,121.02,138.92,134.45,127.72,138.91,-0.1,35.99,39.25,41.55,37.86
"86","21PU-0163",14.51,14.79,NA,17.68,13.42,11.59,NA,12.8,56.52,54.84,NA,50.26,58.06,57.52,56.5,NA,56.98,97.03,115.44,NA,74.34,85.3,106.9,109.23,NA,97.84,141.18,152.79,116.08,142.41,135.17,NA,141.44,NA,30.86,35.59,36.75,33.23
"87","21PU-0165",14.56,12.81,13.64,16.36,13.14,13.22,11.21,11.85,57.99,55.11,55.91,50.52,59.45,50.44,59.46,56.88,55.24,90.89,105.61,71.13,46.97,87.34,90.91,97.48,63.02,83.97,137.55,150.56,116.23,136.73,134.31,125.01,136.7,-0.01,36.17,40.03,36.18,35.1
"88","21PU-0176",14.32,13.09,NA,17.16,13.23,NA,NA,12.27,56.41,58.24,NA,51.49,59.55,NA,NA,NA,57.88,88.97,103.16,NA,72.97,79.49,NA,NA,NA,69.58,136.78,150.85,NA,139.4,NA,NA,139.42,NA,34.7,NA,NA,35.59
"89","21PU-0183",15.41,12.8,NA,16.74,13.75,NA,NA,13.17,60.36,55.71,NA,50.35,60.38,NA,NA,NA,55.69,98.56,91.66,NA,53.29,87.03,NA,NA,NA,85.39,143.53,152.07,NA,142.39,NA,NA,142.04,NA,31.47,NA,NA,32.75
"90","21PU-0185",13.5,12.65,13.11,16.86,13.16,12.74,11.37,12.83,58.19,56.62,55.12,52.52,59.47,54.59,58.34,56.79,54.56,95.41,104.09,67.77,74.23,81.51,95.9,121.12,54.96,88.31,136.5,151.58,117.85,139.18,134.21,125.09,137.75,0.03,32.38,35.35,35.87,32.64
"91","21PU-0280",13.89,13.17,13.53,16.13,12.97,12.38,11.06,12.26,57.69,55.36,54.49,52.71,59.04,51.45,57.07,55.47,55.94,100.04,124.55,73.65,80.31,91.06,103.95,119.01,73.15,93.83,134.98,152.1,114.72,137.07,133.95,124.54,136.5,0,34.44,33.95,37.69,35.82
"92","21PU-0282",14.38,12.74,NA,16.65,13.13,NA,NA,12.37,57.54,57.6,NA,52.64,59.89,NA,NA,NA,56.24,102.57,120.42,NA,98.64,88.37,NA,NA,NA,105.67,134.02,152,NA,137.05,NA,NA,137.77,NA,32.37,NA,NA,38.02
"93","21PU-0285",14.37,12.64,NA,16.92,12.51,NA,NA,12.38,58.32,58.55,NA,53.02,58.61,NA,NA,NA,57.41,105.68,130.02,NA,80,96.16,NA,NA,NA,101.15,134.69,151.97,NA,138.27,NA,NA,136.33,NA,34.11,NA,NA,34.52
"94","21PU-0286",14.06,13.02,NA,15.82,12.93,12.69,NA,12.22,58.12,60.4,NA,52.23,58.51,50.83,57.34,NA,58.66,101.75,115.54,NA,82.04,87.9,104.9,122.38,NA,109.95,135.82,152.14,113.91,137.52,133.96,NA,137.41,NA,31.96,35.5,37.87,34.84
"95","21PU-0288",14.65,12.13,NA,16.06,13.17,13.59,NA,12.22,57.93,56.02,NA,51.84,59.04,52.69,58.52,NA,55.68,110.49,129.8,NA,69.3,87.8,103.34,123.61,NA,92.54,136.32,151.09,114.56,137.7,133.75,NA,137.32,NA,30.87,33.09,39.92,34.96
"96","21PU-0291",16.58,12.37,NA,16.89,13.73,NA,NA,12.41,61.02,55.84,NA,51.24,59.83,NA,NA,NA,55.69,98.7,113.69,NA,45.38,69.58,NA,NA,NA,92.86,137.89,150.99,NA,141.45,NA,NA,139.5,NA,35.39,NA,NA,36.19
"97","21PU-0292",14.65,12.26,NA,16.5,13.51,NA,NA,11.91,58.05,55.78,NA,52.09,59.44,NA,NA,NA,55.76,102.89,124.93,NA,74.98,89.61,NA,NA,NA,98.03,134.95,151.74,NA,138.78,NA,NA,136.52,NA,34.71,NA,NA,34.45
"98","21PU-0293",14.18,12.8,13.55,15.97,13.1,13.01,11.08,11.97,57.91,58.58,54.32,52.83,58.68,53.72,57.68,55.86,56.4,106.03,120.39,74.3,85.5,91.17,109.28,117.07,59.62,90.86,134.79,151.96,115.73,139.17,134.02,125.13,137.9,0.51,32.39,35.19,40.3,34.7
"99","21PU-0294",14.43,13.16,13.77,16.34,13.24,12.78,11.56,12.31,57.85,55.4,54.75,52.69,59.26,52.8,56.63,55.15,55.36,104.19,122.96,69.71,82.66,93.96,112.43,118.64,63.92,100.39,136.13,151.93,116.08,139.48,134.38,125.14,138.28,0.04,32.52,36.57,37.37,35.56
"100","21PU-0298",14.52,12.91,NA,16.2,13.23,NA,NA,11.99,58.27,61.55,NA,52.36,59.24,NA,NA,NA,56.76,101.7,97.11,NA,80.19,90.99,NA,NA,NA,90.9,135.61,151.88,NA,138.97,NA,NA,137.22,NA,33.49,NA,NA,33.85
"101","21PU-0344",14.44,12.61,13.3,16.65,12.77,12.74,11.47,12.12,58.6,58.16,54.8,51.55,58.95,56.23,58.44,57.07,53.47,97.22,129.18,67.18,75.24,87.03,119.97,121.45,63.26,94.76,135.43,150.96,114.44,137.61,134.71,125.29,138.38,0.44,35.22,39.97,39.97,35.52
"102","21PU-0467",15.55,13.41,13.87,17.47,13.38,13.03,11.75,12.63,60.4,58.3,55.84,52.26,60.66,54.74,59.84,58.68,57.08,108.11,123.87,69.57,80.32,89.88,119.84,101.68,61.52,91.24,135.45,150.58,113.03,137.22,133.59,125.42,139.2,0.5,34.37,41.1,39.41,35.91
"103","21PU-0502",14.86,12.86,NA,15.67,13.36,10.23,NA,11.86,57.5,58.29,NA,48.71,59.08,51.86,55.82,NA,56.05,97.12,116.36,NA,68.43,88.31,105.65,117.02,NA,95.56,137.92,151.02,114.82,140.43,136.15,NA,137.93,NA,32.32,35.6,38.1,34.16
"104","21PU-0507",14.11,12.59,NA,16.23,13.31,12.8,NA,12.15,58.18,55.61,NA,51.05,58.89,52.86,57.61,NA,56.07,99.92,115.32,NA,77.82,88.19,110.85,115.78,NA,105.98,135.95,149.8,111.16,136.77,133.21,NA,136,NA,34.35,38.35,36.66,34.55
"105","21PU-0524",14.88,14.51,NA,16.25,12.97,12.08,NA,11.95,58.66,54.95,NA,53,60.02,51.24,58.52,NA,57.24,90.39,113.58,NA,80.68,92.29,79.32,114.79,NA,86.35,135.04,150.21,112.98,134.95,134.33,NA,134.98,NA,34.54,36.65,37.11,35.23
"106","21PU-0532",15.51,13.14,NA,17.1,13.22,13.27,NA,12.85,59.63,57.51,NA,52.29,60.3,52.47,60.72,NA,55.5,94.6,106.36,NA,80.57,81.19,82.93,111.84,NA,92.25,135.02,150.07,114.43,138.13,134.69,NA,138.08,NA,35.5,35.3,37.96,37.01
"107","21PU-0561",14.57,NA,NA,17.01,14.46,13.7,NA,13.2,59.81,NA,NA,53.33,61.39,52.46,60.32,NA,59.39,99.26,NA,NA,76.57,82.36,106.94,119.6,NA,99.75,136.25,150.93,121.03,139.03,135.67,NA,143.19,NA,36.17,41.22,41.46,39.72
"108","21PU-0645",14.95,12.95,NA,17.02,13.15,13.8,NA,12.44,58.48,57.11,NA,52.57,60.69,54.6,60.23,NA,57.63,95.63,116.55,NA,75.84,86.27,95.4,112.33,NA,97.45,134.89,150.93,114.8,136.05,132.81,NA,136.37,NA,31.84,34.4,35.64,30.12
"109","21PU-0648",14.68,12.56,NA,16.51,13.18,14.14,NA,12.25,59.07,56.18,NA,52.44,60.37,54,59.3,NA,57.02,98.27,110.79,NA,89.16,86.94,100.63,110.26,NA,95.21,132.07,149.17,114.68,137.19,133.53,NA,135.79,NA,33.15,39.08,36.89,34.07
"110","21PU-0673",15.61,13.5,13.83,17.2,13.6,14.15,11.71,12.99,60.24,58.26,57.27,53.04,60.97,53.44,59.9,57.4,56.57,94.68,112.68,66.63,84.33,88,96.17,120.99,63.65,89.89,136.1,150.95,113.78,137.17,134.4,125.99,138.14,-0.02,32.92,37.62,36.73,34.6
"111","21PU-0674",16.15,13.03,NA,16.93,14.01,NA,NA,12.77,62.1,58.29,NA,52.31,62.57,NA,NA,NA,57.45,95.93,110.99,NA,76.93,96.29,NA,NA,NA,94.77,135.17,150.82,NA,138.18,NA,NA,135.86,NA,36.48,NA,NA,35.32
"112","2201",14.95,12.77,13.75,17.21,13.17,11.84,11.49,12.27,58.25,55.66,54.35,52.36,58.5,49.88,56.33,53.76,54.87,99.21,111.62,70.92,75.6,84.64,97.59,116.93,78.62,92.66,133.84,149.53,111.07,136.75,132.16,123.33,133.67,0.04,34.57,37.27,37.78,35.02
"113","2202",17.58,15.04,14,17.41,14.5,13.59,12.24,12.99,62.15,56.45,58.1,52.54,62.09,57.6,59.89,56.92,56.38,107.48,126.23,74.02,82.37,97.07,115.95,118.26,70.54,113.05,137.36,150.94,115.66,139.62,135.07,127.3,139.85,0.06,33.62,36.18,37.59,35.5
"114","2203",17.12,13.56,14.23,17.27,13.81,12.27,12.04,13.02,61.94,56.19,56.2,51.37,60.31,54.04,58.1,54.57,58.14,102.01,125.71,77.58,83.86,96.99,119.45,122.98,75.43,105.31,137.54,150.91,117.25,138.16,136.02,125.61,139.49,0.01,36.45,40.25,35.89,36.31
"115","2204",16.79,13.24,14.08,17.59,13.7,13.85,11.56,12.97,61.11,57.02,56.26,52.53,60.12,53.01,60.6,56.48,58.18,105.44,110.62,74.08,75.78,91.03,98.71,117.22,71.13,100.93,133.06,150.41,113.43,135.03,133.3,122.74,133.63,0.55,33.65,35.58,38.09,37.49
"116","2205",14.85,12.92,13.72,16.7,13.68,13.33,11.79,12.09,58.12,56.95,54.92,51.18,59.74,53.81,60.11,55.3,56.11,99.58,115.63,69.15,69.7,87.25,103.33,112.03,76.62,89.5,137.89,152.04,113.42,138.09,136.51,125.28,139.59,0.06,34.57,34.14,36.06,33.57
"117","2206",14.82,12.95,13.72,16.28,13.57,12.51,11.22,11.93,59.02,57.3,52.81,52.08,59.56,52.25,59.01,56.63,57.2,103.49,114.12,66.15,81.05,88.49,107.82,117.14,65.85,94.35,134.57,150.7,114.11,136.14,133.7,126.01,136.92,0,34.44,38.42,42.65,36.56
"118","2207",14.64,12.68,13.16,16.85,13.71,13.25,11.78,12.31,57.39,56.39,54.67,52.12,58.95,54.56,59.75,56.64,55.04,106.43,118.78,75.52,70.81,86.96,103.98,123,82.46,101.73,136.16,150.03,114.34,138.68,133.1,124.48,136.49,0,35.49,35.99,39.44,35.03
"119","2208",15.22,14.15,14.18,17.2,14.47,11.8,11.92,12.64,59.26,55.01,55.41,51.09,59.55,52.78,56.87,55.9,55.37,107.73,98.43,77.1,81.34,94.66,99.87,131.83,79.5,96.55,135.66,150.88,117.61,140.85,134.05,126.93,139.55,-0.07,32.08,34.69,36.34,31.92
"120","2209",16.53,13.35,14.17,17.5,13.98,13.05,12.16,12.96,61.41,58.65,53.95,52.63,60.57,53.95,58.44,56.71,59.36,106.67,105.29,70.84,74.51,90.48,107.88,116.13,71.11,97.55,138.71,150.9,119.82,139.81,134.22,127.68,139.51,-0.01,34.69,34.32,38.24,34.29
"121","2210",16.82,14.01,13.99,18.01,13.8,13,12.05,13.54,60.81,55.7,56.8,51.24,60.75,53.14,57.86,54.7,58.01,98.74,115.64,68.64,71.38,95.73,108.6,117.78,74.23,106.61,137.94,149.91,115.84,140.21,134.01,125.63,138.85,0.05,36.78,39.23,39.22,37.74
"122","2211",16.09,13.84,14.04,17.87,13.9,12.46,12.4,13.11,60.26,56.48,55.95,51.47,59.87,56.02,57.5,55.39,55.13,104.5,115.91,73.57,82.23,98.51,93.63,122.48,63,95.57,137.3,151.14,116.13,139.78,135.74,126.83,140.69,0.04,34.82,37.2,39.78,34.3
"123","2212",16.8,13.71,14.43,17.59,13.65,13.93,12.08,13.35,63.16,57.79,56.21,50.56,62.5,55.43,61.6,55.93,57.03,106.8,101.13,62.25,30.17,93.71,114.98,118.04,59.06,94.03,142.35,151.1,113.07,136.16,131.57,124.57,135.77,0.01,36.98,38.68,38.25,35.13
"124","2213",15.7,13.35,14.22,17.56,13.83,13.09,13.21,13.18,60.58,57.12,57.25,53.57,62.05,55.26,58.68,56.72,58.54,97.69,100.15,69.07,86.38,84.16,106.17,117.54,81.61,94.24,138.44,151.1,123.37,142.34,135.26,130.11,139.67,0.02,33.59,39.83,36.89,33.31
"125","2214",16.14,21.88,NA,18.13,13.72,14.24,NA,12.54,60.71,45.5,NA,52.78,62.12,47.96,59.94,NA,56.69,98.84,83.37,NA,93.14,98.18,90.35,109.91,NA,103.57,134.55,151.88,117.57,136.59,133.93,NA,140.2,NA,34.08,33.94,38.61,35.59
"126","2215",15.92,13.23,NA,17.67,13.88,12.45,NA,12.88,57.98,57.25,NA,52.07,59.27,53.98,58.92,NA,57.84,99.61,118.44,NA,78.4,93.53,110.76,116.29,NA,108.23,138.02,150.64,112.62,138.95,134.61,NA,137.76,NA,33.25,38.96,38.31,33.97
"127","2216",14.62,12.91,NA,16.67,13.27,12.24,NA,12.22,59.18,57.68,NA,53.08,59.24,54.03,57.72,NA,54.7,103.9,117.45,NA,86.62,80.97,111.6,108.95,NA,83.22,135.11,151.94,110.52,140.96,134.94,NA,141.66,NA,36.62,36.99,42.42,37.36
"128","2217",15.62,13.4,NA,17.36,13.47,15.71,NA,12.73,61.55,59.22,NA,55.15,62.68,57.51,64.23,NA,58.91,102.42,113.83,NA,66.99,93.86,111.73,113.68,NA,95.32,136.03,151.29,111.97,135.18,132.82,NA,137.48,NA,33.29,34.93,36.56,32.22
"129","2218",15.6,13.01,NA,16.78,12.77,13.69,NA,12.72,60.79,58.88,NA,52.56,61.25,57.11,61.83,NA,55.82,106.14,100.73,NA,65.74,86.08,105.32,94.06,NA,80.51,135.2,150.06,111.79,137.34,132.5,NA,137.37,NA,32.3,33.69,34.75,29.3
"130","2219",15.71,13.58,NA,18.08,13.59,13.07,NA,13.24,61.1,55.19,NA,53.26,60.34,54.64,58.1,NA,57.94,102.4,108.93,NA,81.43,83.16,115.36,124.1,NA,69.36,137.81,150.27,114.52,138.51,135.39,NA,137.81,NA,33.51,37.62,39.69,36.72
"131","2220",15.81,13.12,NA,17.37,13.98,11.96,NA,12.24,58.48,52.56,NA,51,58.3,52.33,56.71,NA,50.3,97.89,97.29,NA,64.21,78.46,90,118.02,NA,99.88,139.17,149.87,116.25,137.4,135.08,NA,139.9,NA,32.59,36.88,35.82,33.6
"132","2221",15.65,12.98,NA,17.81,13.73,13.07,NA,12.71,61.3,53.46,NA,51.59,61.27,56.93,59.09,NA,57.89,107.36,123.53,NA,96.1,89.5,118.12,115.84,NA,103.63,139.93,152.2,115.9,141.77,135.37,NA,140.77,NA,33.08,37.61,35.96,33.84
"133","2222",16.38,13.25,NA,18.01,14.12,14.12,NA,12.22,60.34,55.87,NA,53.16,63.08,51.04,61.23,NA,56.01,99.32,111.59,NA,61.59,79.46,88.15,111.63,NA,68.12,135.76,150.73,116.35,136.92,134.63,NA,136.54,NA,40.34,41.6,41.2,41.14
"134","2223",16.12,13.28,NA,18.68,13.91,14.19,NA,13.16,60.82,55.56,NA,52.03,61.44,52.81,60.38,NA,56.71,112.13,100.91,NA,57.56,93.23,92.77,111.85,NA,82.3,136.28,150.84,115.88,136.33,133.89,NA,139.24,NA,35.29,34.9,36.88,34.26
"135","2224",16.27,12.86,NA,17.12,13.8,12.42,NA,13.17,60.14,53.86,NA,50.91,59.64,55.62,57.51,NA,55.87,104.95,103.89,NA,79.81,84.28,107.48,121.21,NA,50.39,136.23,151.05,115.86,139.15,134.96,NA,139.93,NA,41.03,44.43,43.59,36.31
"136","2225",17.28,13.02,NA,17.4,13.36,14.29,NA,12.94,62.8,59.8,NA,53.16,61.99,57.11,61.29,NA,59.72,100.71,126.41,NA,93.15,85.87,109.13,119.71,NA,95.87,134.67,151.74,120.27,138.81,133.14,NA,141.63,NA,32.86,39.49,38,31.64
"137","2226",15.16,12.76,NA,16.84,12.86,10.82,NA,12.52,58.64,54.37,NA,49.36,59.61,55.51,54.12,NA,56.41,99.74,116.77,NA,59.06,88.27,116.41,116.74,NA,97.89,137.87,151.94,115.38,139.76,133.5,NA,138.27,NA,33.38,33.67,32.86,32.38
"138","2227",15.08,13.32,NA,16.69,13.67,15.07,NA,12.41,60.29,55.38,NA,52.21,59.77,53.04,60.23,NA,59.01,108.72,123.5,NA,71,86.82,94.54,116.84,NA,92.85,134.59,150.03,112.01,137.58,132.75,NA,137.56,NA,34.24,37.51,40.11,33.34
"139","2228",15.58,12.7,NA,16.41,12.92,13.51,NA,12.46,61.56,58.32,NA,53.6,61.14,55.33,60.44,NA,54.81,99.24,91.21,NA,77.71,87.92,96.07,107.55,NA,80.92,135.34,151.02,111.05,135.53,134.96,NA,136.28,NA,34.03,36.96,36.91,33.49
"140","2229",16.02,13.39,NA,17.84,13.85,13.13,NA,13.29,62.06,58.14,NA,51.73,61.94,49.7,59.58,NA,56.36,102.08,108.72,NA,56.42,91.24,87.32,104.41,NA,94.71,141.72,150.17,117.66,140.03,133.26,NA,140.13,NA,33.72,36.4,38.53,34.7
"141","2230",17.41,13.51,NA,17.7,14.23,11.56,NA,13.13,62.02,55.66,NA,51.76,60.42,50.88,55.88,NA,60.08,109.66,119.9,NA,65.13,89.8,91.58,124.21,NA,95.75,138.96,151.22,NA,140.74,137.12,NA,142.16,NA,36.95,39.65,38.97,34.79
"142","2231",15.52,13.25,NA,16.7,13.12,14.31,NA,12.79,60.89,57.28,NA,51.11,61,54.44,60.45,NA,54.99,108.58,118.5,NA,22.21,88.42,104.61,99.2,NA,96.58,138.74,150.01,113.08,137.35,131.93,NA,134.71,NA,32.01,37.53,42.25,31.45
"143","2232",14.15,13.69,NA,16.76,13.69,12.16,NA,13.12,55.97,57.54,NA,48.96,59.24,55.55,56.16,NA,57.22,96,110.44,NA,39.25,87.24,96.77,112.9,NA,99.71,138.87,152.06,112.84,139.13,134.43,NA,135.67,NA,33.17,37.15,37.1,34.56
